뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01101001.20160719221910826,20160719,한겨레,성연철,권력심장부 향하는 악재들 레임덕의 시계 빨라진다,정치>외교, 정치>청와대, 정치>국회_정당,범죄>정치>뇌물수수,,,"장학로,김용태,김형준,박근혜,최경환,정병국,서청원,김성회,현기환,우,김대중,윤상현,우병우,수석,김영삼","경북,성주,장악,당,대구,무산,수도권","친박,명지대,경제정의실천시민연합,정부,리틀,청와대,친박계,새누리당,저축","권력심장부,악재들,레임덕,시계,하루,지뢰,걱정,새누리당,수도,의원,방위적,사건,토로,임기,개월여,박근혜,정부,내리막,위기감,박근혜,대통령,3년,개월,정권,무능,불통,국정운영,부정,부패,비리,폭로,변화,레임덕,권력누수,현상,본격적,가시화,청와대,실세,주변,우병우,민정,수석,각종,의혹,청와대,악력,예전,방증,야당,1300억,원대,의혹,부동산,거래,수석,해임,대통령,입장,표명,압박,새누리당,수석,사건,진상규명,청와대,요구,정진석,원내대표,청와대,수석,방어막,내부적,사태,대통령,국정,장악력,약화,감지,새누리당,사정도,청와대,마음,친박계,맏형,서청원,의원,이날,당내,갈등,중심,후배들,기회,경선,전당,대회,출마,선언,최경환,윤상현,의원,김성회,의원,지역구,공천,신청,압박,통화,녹취록,공개,결정,청와대,주자,의원,당대표,최경환,의원,선언,임기,후반부,친정체제,대통령,구상,물거품,19일,현기환,청와대,정무,수석,공천,개입,녹취록,추가,공개,새누리당,의원,정권,초기,상상,정권,부당,권력,사례들,여당,금기,대통령,비판,백서,총선,패배,청와대,비판,할애,상징적,백서,청와대,계파,갈등,빌미,제공,오만,불통,공감대,정책,대통령,주장,인터뷰,여과,비박계,정병국,의원,친박계,대통령,책임,총선,배패,전가,정도,측근,비판,방식,간접적,대통령,화법,직설적,전당대회,출마,김용태,의원,최경환,윤상현,의원,녹취록,파문,언급,대통령,사람들,국민,대통령,박근혜,대통령,측근,호가호위,대통령,동조,지지율,대통령,콘크리트,기둥,대구,경북,지역,민심,예전,무산,동남,대구,민간공항,약속,경북,결정,성주,사드,포대,배치,냉온탕,정책,다수,여론조사,지역,지지율,당내,의원,전문가들,박근혜,정부,과거,정부,집권,레임덕,패턴,진단,김영삼,정부,패배,총선,장학,청와대,부속,실장,뇌물,수수,의혹,김대중,정부,25,패배,아들들,부패,의혹,내리막,노무현,이명박,정부,실패,연정,제안,저축,은행,사태,레임덕,의원,새누리,중진,박근혜,정부,그동안,부패,전횡,정권,포장지,청와대,민정,수석,부패,의혹,공천,공깃돌,실세들,실세,전횡,중대,사안,양상,전문가들,대통령,국정,운영,철학,조언,교수,김형준,명지대,성과,정부,레임덕,동력,대통령,설득,성주,주민,야당,의원,반대편,사람들,공동대표,인명진,경제,정의,실천,시민,공동,대표,친박,야당,협력,국민,국정운영,신뢰,회복,변화,촉구,성연철,디스팩트,시즌,넥슨,특혜,리틀,김기춘,우병우,집중,가기","청와대,새누리당,레임덕,친박,우병우,녹취록,당대표,박근혜,성주,인명진,대구,전당대회,경북,지지율,최경환","“하루가 멀다 하고 안에서 터지는 지뢰 때문에 한 치 앞을 못 내다보겠다. 앞으로가 더 걱정이다.”

 19일 새누리당의 한 수도권 의원은 최근 당 정 청에서 전방위적으로 터져나오는 ‘사건’들에 조마조마함을 토로했다. 5년 임기 가운데 1년7개월여를 남긴 박근혜 정부의 내리막이 더욱 가팔라지는 것 아니냐는 위기감이다. 박근혜 대통령이 지난 3년5개월은 ..",http://www.hani.co.kr/arti/politics/assembly/753054.html,
01500601.20160719213328001,20160719,매일신문,이동관 편집부국장,[시각과 전망] 까라면 까야지,미분류,,,범죄>범죄일반>폭행, 사회>사회갈등>시위,,황교안,"적나라,미국,강정마을,서울,밀양,신공항,제주도,수도권,한반도,일쑤,안중,성주,칠곡,제주,대한민국","정부,성주,오산,서울,검찰,중국,국방장관,새누리당,북한,강정 해군,대구경북","사드,이야기,망신,고개,검찰,이야기,실력자,이야기,재산,상속,새누리당,집안싸움,이야기,뒷전,정도,사드,최대,현안,성주,사드,대구경북,사드,배치,생각,핵보유국,큰소리,사흘,하늘,바다,미사일,장사정포,북한,비정상적,정권,생각,한반도,미국,중국,대결,일촉즉발,양상,간과,정부,절차,방식,정상,따름,선후,중대사,처리,분간,정도,엉망,정부,단추,배치,예상,지역,주민,안중,생각,생략,생각,오산,촌사람,무시,한민구,국방장관,거짓말쟁이,서울,언론들,배치,예상지,이곳저곳,추측,기사,남발,전국,결국,성주,종착지,칠곡,양산,날벼락,성주,민심,예상,폭발,계란,머리,황교안,총리,머리,난무,매일신문,16일,사진,민심,폭발,현장,양반,동네,우국,충절,고향,성주,나라,서울,근교,원자력발전소,방사성,폐기물처리장,대로,촌사람들,곤란,사람들,성주,사람,서울,사람,촌사람들,희생,서울,사람,촌사람들,대한민국,국민,매일반,제주,강정,해군,기지,건설,성주,제주도,공사,지연,손해,막심,전국,시위꾼,건설,밀양,송전탑,건설,물리력,충돌,사건,확대,장기화,파장,증폭,세력,외부,개입,영향,정부,언론들,보도,지역,사람,생각,사드,결정,성주,배치,결정,생각,성주,군민,정부,모습,강정마을,밀양,이야기,동병상련,비약,국민들,생각,정부,정부,방식,생각,국민들,서울,언론,보도,느낌,서울,언론,신공항,지역이기주의,매도,일쑤,민심,생각,외부,세력,개입,운운,폭력성,부각,전자파,소음,무해,입증,난리,자존심,몸부림,의심,눈초리,서울,사람,언론,분통,노릇,만일,서울,수도권,사드,배치,정부,성주,방식,대응,생각,감내","성주,서울,사드,촌사람,밀양,황교안,사람들,제주,촌사람들,국민들,언론들,전자파,장사정포"," 사드 이야기를 안 할 수 없다. 망신을 당해 고개를 들지 못하는 검찰 이야기도, 실력자의 처가 재산 상속 이야기도, 두 달 넘게 끌고 있는 새누리당의 피 터지는 집안싸움 이야기도 모두 뒷전으로 밀려날 정도로 사드는 최대 현안이다. 성주에 날아든 사드 때문에 대구경북은 특히 그렇다. 
사드 배치의 불가피성에 대해 토를 달 생각은 없다. 핵보유국이라고 큰..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=34985&yy=2016,
01500601.20160719191647001,20160719,매일신문,경주 이채수 기자 cslee@msnet.co.kr,원해연 결국 무산 '백지화 정부' 또 한건 했다,지역>경북, 지역>경기, 지역>대전,사회>사회갈등>시위,,,,"경북도,경북,원천,월성,부산,경주,무산,신월성원,경주시","경북도,한국과학기술기획평가원,추진위원회,중앙정,해체기술종합연구센터,경주,무산,KISTEP,원자력연구원,경주 유치,정부,미래창조과학부,기획재정부,중앙정부,경주시","무산,원해연,결국,백지화,정부,경제성,정책,KISTEP,예타,조사,원전,밀집,경북,원자력산업,핵심,경북도,경주,사활,신설,유치,추진,원자력해체기술종합연구센터,원해연,건립,계획,중앙정부,백지화,경주,부산,치열,유치전,과열,유치전,부담,중앙정부,사례,과거,결국,경북도,경주시,원전,방폐장,지역,민심,분노,경북도,경주시,이달,자문회의,기획,재정부,재정,사업,평가,자문,회의,한국과학기술기획평가원,KISTEP,원해연,예비,조사보고서,계획,원해연,건립,판정,사업,무산,확정,보고서,원해연,경제,평가,지수,0.26,기준치,정책평가,AHP,0.249,기준,0.5,미달,경제성,정책,사업,주도,미래창조과학부,원자력연구원,중심,원천,확보,사업,추진,방침,원해연,설립,사실상,경주시,원해연,경주,유치,추진,위원회,결성,총력,유치전,경주,시민,망연자실,월성원전,신월성원전,가동,원전,6기,년간,반대,시위,중저준위,방폐장,경주,원자력,결국,중앙,정부,허락,경주,원해연,유치,추진위,관계자,원자력,발전소,해체,만큼,원해연,시설,중앙정부,원해연,설립,추진,사업,정부,정신,정부,의심,방폐장,월성,수명,연장,중앙정부,대로,결국,대가,아무것,경주,포함,경북도민들,중앙정부,분노","원해연,경주,원자력,중앙정부,방폐장,경북도,유치전,경주시,경북,관계자,월성원전,신월성원전,자문회의,월성,kistep,경제성,보고서,백지화,과학부,미래창조과학부,재정부"," 원전이 밀집한 경북에 원자력산업의 핵심인 연구 기능을 두기 위해 경북도가 경주와 함께 사활을 걸고 신설 유치를 추진했던 '원자력해체기술종합연구센터'(이하 원해연) 건립 계획을 중앙정부가 백지화시켰다. 
경주는 부산과 치열한 유치전을 펴고 있었으며 과열 유치전에 부담을 느낀 중앙정부가 과거 신공항 사례처럼 결국 '타당성 없음' 결론을 내린 것으로 경북도..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=34910&yy=2016,
01500601.20160719151935001,20160719,매일신문,권성훈 기자 cdrom@msnet.co.kr,"[털보 기자의 이슈 털기] <17> -(3)수도권 언론을 거부한다 ""사드도 수도권 언론 입맛대로""",정치>외교, 정치>국회_정당, 정치>선거,사회>사회갈등>시위,,,"최경환,유해성,심규선,김항곤,박근혜","안중,경북,성주,TK지역,성주군,대한민국,괌,수도권,영남,대구경북","TK 진박,국회의원,TK지역,일본,민주언론시민연합,TK 여당,수도권,조중동,정부,성주,집권당,친박계,민언련,TK,계산,대구공항,새누리당","수도권,언론,거부,사드,입맛,수도,언론,사드,THAAD,고고도,미사일,방어,체계,여론,입맛,수도,언론,왕조시대,중앙,집권,언로,言路,21세기,지역,여론,안중,한마디,대로,요즘,유행어,사료,지역민,돼지,취급,태도,영남,정도,대구공항,사드,박근혜,정부,메시지,수도,언론,정부,논리,나팔수,노릇,자처,분노,지방,이슈,정부,수도,언론,일방통행식,나라,독립,심정,당사자,사드,배치,지역,성주군민들,중앙언론,여론호도,분노,짐작,지역,사드,조선일보,편향,여론,조사,보도,조선일보,TK지역,사드,배치,조선일보,기사,일자,성주,포함,TK지역,사드,배치,찬성,여론,전국,보도,리얼미터,여론조사,기관,14일,결과,사드,배치,찬반,여론,조사,인용,TK지역,찬성,58.3%,반대,28.5%,여야,與野,의원들,TK,지역,의원,반대,사드,배치,주민들,정작,지역,주민,찬성,해설,여론조사,전국,547명,대상,대구경북,지역민,얘기,100명,지역민,의견,TK,사드,여론몰이,정치,경제,안보,사드,배치,여론조사,결정,사안,조선일보,성주,지역,입장,조금,존중,여론조사,이용,여론몰이식,보도,지양,객관성,빙자,편향,여론조사,자신,입맛,지역민,반발,의원들,2.,TK,의원,주민,설득,동아일보,사설,칼럼,동아일보,14일자,경북,성주,사드,반대,TK,여당,의원,집권,자격,제목,사설,사설,주민,설득,새누리당,TK,대구경북,지역,의원,집단항,성명서,집권당,국가,국민,안위,아랑곳,지역주민,정서,영합,자신들,계산,주장,대구경북,지역민,지역,국회의원,중앙집권적,달리말,수도권,논리,집권,자격,논리,국회의원들,지역민,이익,상충,집권당,논리,배치,역주행,종용,여당,의원,지역,이익,대변,TK,의원,소속,집권당,국익,집권당,이익,지역,이익,여론,대변,대표자들,동아일보,사설,TK,국회의원,딴소리,TK,여당,의원,배치,성주,사드,국익,선택,지역,주민,설득,박근혜,정부,정책,협조,논리,중앙,집권,논리,TK,의원,지역,국익,도움,입증,사드,성주,배치,찬성,주민들,설득,동아일보,일자,심규선,대기자,친박,나라,제목,칼럼,TK,의원,사드,성주,배치,표변,대통령,배신,정치,여당,국회의원,노릇,집권당,거수기,지역구,나라,지역구,정치인,사치,그룹,대한민국,좌지우지,주장,사드,나라,논리,비약,개개인,입법기관,국회의원,모독,성주,논조,기사,중앙일보,사설,중앙일보,성주군민,의견,따위,중요,정부,주문,노골적,일자,사드,그린파,전자파,30m,허용치,4.4%,제목,기사,기사,조선일보,요지,전자파,걱정,성주,사드,배치,메시지,간접적,이날,조사단,전자파,사드,괴담,제목,사설,21명,새누리당,소속,TK,의원,전자파,진실,정부,요구,정부,전문가들,전자파,유해,정부,최고,실세,최경환,의원,진박,의원,무책임,행동,어이,사드,전자파,유해성,정부,유해성,입장,유해성,전문가들,견해,중앙일보,성주,지역민,정부,모양,의원들,TK,진박,의원,외교,국가,국민,안위,아랑곳,지역,주민,정서,영합,비난,4.,신문,보도,7월,16~18일,민주언론시민연합,성주,사드,배치,반대,투쟁,외부,시위,개입,조중동,보도,전문,직업,시위꾼,개입,결과,폄훼,악의적,보도,지적,세월,참사,등장,프레임,투쟁,자체,투쟁,연대,폄훼,폭력사태,부각,투쟁,일반,시민,분리,의도,해석,중앙일보,김윤호,기사,일자,김항곤,성주,군수,발언,해결,시위,시위,외부인,단체,발언,강조,보도,중앙일보,보도,조선일보,동아일보,가세,성주,시위,외지인,전문,투쟁,개입,보도,의혹,제기,배치,성주,사드,이슈,수도권,언론,보도,영남,지역,입장,정부,수도권,논리,전문,시위,성주,반대투쟁,사드,배치,반대,투쟁,폭력,정부,갈등,전문,시위,폭력성,강조,생존권,성주군민,순수,사드,반대,투쟁,매도,의도,성주,지역,사드,배치,본질,쟁점,폭력,수사국면,강조,사드배치,정면돌파,정부,입장,대변,위험성,수도,언론,정부,지방,국익,성주군,생존권,위협,군사상,위험,노출,논리,지역,입장,수도,언론,국익,지역민,이익,여론,존중,본질,외면,보도,여론수렴,정부,질타,사드,배치,일본,사례,상응,피해보상,장기,대책,마련,주문,보도태도","사드,성주,tk,지역민,전자파,중앙일보,집권당,조선일보,수도권,동아일보,국회의원,여론조사,대구경북,의원들"," ""사드(THAAD`고고도 미사일 방어체계) 여론도 수도권 언론 입맛대로~.""
마치 왕조시대의 중앙집권적 언로(言路)가 21세기에 판을 치는 것 같다. 지역의 여론은 아예 안중에도 없다. 한마디로 '니들은 주는대로 받아먹어라.' 는 식이다. 요즘 유행어로 말하자면 ""사료는 드셨나요?"", ""지역민은 개,돼지 취급해도 어쩔 수 없지 뭐!"" 라는 태도와 뭐가..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=34835&yy=2016,
01500601.20160718211639001,20160718,매일신문,유광준 기자 june@msnet.co.kr,정치권 '사드' 현안질의 총력전,정치>행정_자치, 정치>외교, 정치>국회_정당,,,,"사드,백,이종명,이,이완영","경북,미국,성주,성주군,청도,대구경북","국회,정부,성주,매일신문,국방부","정치,사드,현안질,총력전,이완영,정부,문제점,환기,백승주,정확,사실,확인,이종명,정붕,해명,기회,여야,진행,19,,고고도미사일방어체계,THAAD,사드,배치,경북,성주,국회,본회의,긴급,현안,질문,총력전,여당,성주군,주민,반감,이완영,고령성,주칠곡,백승주,구미갑,이종명,비례,경북,청도,의원,국회의원들,대구경북,출신,국회의원,발언자,차출,사드,배치,정책,전반,정부,추진상황,점검,지역민들,의견,정부,전달,예정,현안질의,의원들,정부,사드,배치,필요성,배치,지역,주민,설명,촉구,전자파,한편,레이더,위해성,괴담,나름,합리적,근거,제시,입장,사드,배치,대중,對中,외교,경제관계,악화,불식,동시,대구경북,민심,이반,현상,확산,정부,지원,방안,확약,성주,고향,이완영,의원,19일,질문자,의원실,관계자,정부,백지,격앙,지역주민들,설득,객관적,데이터,주민들,공감대,노력,결정,성주,준비,정부,태도,환기,유해,표현,무해,차이,정부,주민,설득,성의,강조,국방부,차관,의원,매일신문,통화,국민들,사드,배치,이견,분열,사드,정확,사실,국민들,확인,현안질의,활용,의원,지난주,미국,체류,사드,레이더,하원,위원회,협의,현안질의,사드,괴담,해방,이종명,의원,정부,데이터,지역주민들,눈높이,갈등,현안질의,정부,해명,기회,제공","사드,성주,이완영,이종명,대구경북,현안질의,주민들,경북,백승주,총력전,매일신문,국민들,지역주민들,성주군,경제관계,지역민들,위원회,위원장,對中,지역민,국방부,질문자,의원실,발언자,고고도미사일방어체계"," 여야가 19, 20일 진행되는 고고도미사일방어체계(THAAD`사드)의 경북 성주 배치와 관련한 국회 본회의 긴급 현안질문에 총력전을 펼친다. 
여당에선 성주군 주민들의 반감을 고려해 이완영(고령성주칠곡)`백승주(구미갑)`이종명(비례`경북 청도) 의원 등 대구경북 출신 국회의원들을 발언자로 차출, 사드 배치 정책 전반에 대한 정부의 추진상황을 점검하고 ..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=34781&yy=2016,
01500601.20160718201816001,20160718,매일신문,모현철 기자 momo@msnet.co.kr,"김창은 시의원, 신공항 무산 관련 대구시 질타",지역>대구, 지역>경기, 지역>경남,,,,김창은,"영남권,신공항,대구시의원(,무산,대구시","대구시,건설교통위원회,정부","김창은,시의원,질타,무산,대구시,김창,대구시의원,수성3,건설교통위원회,18일,시정질문,임시회,시정,질문,무산,영남,대구시,무능력,질타,시의원,정부,제시,K2,민간,공항,통합,방안,공항,성격,규모,경제,측면,내년,정권,변화,행정,절차,청사진,장밋빛,가능성,실현가능,정책,대안제시,대구시,주도적,상황,백지,사례,발생,강조","대구시,시의원,임시회,건설교통위원회,수성,위원회,수성3,대안제시,청사진,실현가능,시정질문,가능성,대구시의원,김창,무능력,영남,k2,김창은,무산,공항,가능,제시,측면,장밋빛,질타,발생,사례,건설,변화,행정,교통,정권,절차,내년,규모,백지,민간,성격"," 김창은 대구시의원(수성3`건설교통위원회)은 18일 열린 제243회 임시회 시정질문에서 영남권 신공항 무산과 관련, 대구시의 무능력을 질타했다.
김 시의원은 ""최근 정부가 제시한 'K2 및 민간공항 통합이전’ 방안은 새 공항의 성격과 규모, 경제성 측면, 내년으로 다가온 정권 변화, 이전을 위한 행정 절차 등을 고려할 때 장밋빛 청사진에 그칠 가능성이 ..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=34743&yy=2016,
01101001.20160718175922565,20160718,한겨레,,[왜냐면] 개돼지를 위한 꿀꿀한 스릴러 / 김규종,문화>문화일반, 정치>북한, 정치>외교,,,,티케이,"미국,남한,구의역,일본,중국,금수,한국,북한,화양읍,청도군,경북,토평,대구,대구공항,러시아","미국,일본,국방부,국방장관,한국,북한,교육부,주한미군,한반도,청와대,우생,러시아,희생자","개돼지,스릴러,김규종,김규종,경북,청도군,화양읍,토평길,폭발,직전,공포,스릴러,철회,사드,배치,대구공항,광복절,특사,망언,민중,개돼지,서슬,휘발성,사건들,대중,망각,체념,청와대,국방부,사드,배치,결정,티케,국회의원들,동네,국가안보,국익,차원,사드,배치,자들,사드,유해성,대구,경북,형국,정치,나라,막장,축소판,미국,일본,남한,중국,러시아,북한,대립구도,신냉전체제,시점,미국,일본,장구,한국,작두,칼춤,추러,작두,형국,북한,고립,한국,필사적,외교,대북제재,동참,중국,러시아,상황,창조,자기부정,모순,외교,외교장관,사드,시점,사드,백화점,장소,사드,배치,결정,언론플레이,국방장관,생쇼,가관,1주일,결정,전광석화,표변,주한미군사령관,요청,한국,국방부,수용,수사,사드,배치,일사천리,효용성,안전성,검증,사드,배치,1%,99%,신분,정립,교육부,정책,기획관,동일,궤적,민중,국민,개돼지,간주,우연,인간,언어,잠재의식,욕망,표출,취중망언,치부,욕망,희구,몸속,체화,사유,언어,술자리,설파,민중,개돼지,천황,폐하,노선,단순,우연,데자뷔,얘기,1%,금수저,1%,지배계급,1%,우생학,자들,한반도,정국,주도,중추세력,세월,참사,희생자,가족,슬픔,절망,상실,공감,언어도단,구의역,가족,청년,아픔,이해,당연지사,개돼지,주창자,위선,규정,1%,99%,고통,절망,좌절,신분,사회,갈망,자들,영속성,교육,국방,외교정책,기획,실행,개돼지들,세금,교통범칙금,담뱃값,1%,야기,세빛둥둥섬,4대강,방위산업,자원외교,비리,국가,헌신,전직들,노고,결과,녹조라테,큰빗이끼벌레,1%,공포,스릴러,끝판왕,등장,귀추,주목,장마철","사드,개돼지,한국,자들,경북,4대강,국방부,교육부,중국,녹조라테,일본,토평길,러시아,미국,주창자,김규종,사건들,국방장관,자기부정,생쇼,주한미군사령관,미군,중추세력,신냉전체제,언어도단,국회의원,안전성,구의역,전직들","김규종 
경북 청도군 화양읍 토평길

 꿀꿀하다! 폭발 직전의 공포나 스릴러랄까. 신공항 철회, 사드 배치, 대구공항 이전, 광복절 특사, 민중 개돼지 망언이 줄지어 터져 나온다. 그 서슬에 휘발성 짙은 사건들이 시나브로 묻히고, 대중은 깊은 망각과 체념의 늪으로 빠져든다. 늘 이런 식이다.

 청와대와 국방부가 사드 배치를 결정하자마자 티케이 국회의원..",http://www.hani.co.kr/arti/opinion/because/752852.html,
01100901.20160718165612001,20160718,중앙일보,안장원,[분양 하이라이트] 국제학교 가까운 해변 옆 주거형 리조트,지역>제주, 지역>강원, 지역>경기,,,,,"올레8코스,미지식물원,중문단지,신라,제주,휘트니,신공항,서귀포시,중문관광단지,제주도,색달동","호영개발,롯데,면세점,국제학교,서해종합건설,제주,씨사이드아덴,안성CC,중문관광단지","국제학교,해변,해변,주거,리조트,씨사이드아덴,제주,중문단지,제주,가족,고급,주거,리조트,호영개발,제주,중문관광단지,서귀포시,색달동,중문,관광단지,씨사이드아덴,조감도,분양,실씩,규모,공급면적,135~230,190실,평면,일반형,테라스형,복층형,취향,선택,서해종합건설,시공,씨사이드아덴,리조트,주택,사람,등기,가능,가족,단독,소유,각종,커뮤니티,시설,휘트니스센터,스크린골프장,당구장,탁구장,세미나실,서해종합건설,로이복층유리,강화유리,창호,제주석,외벽,고급마감재,시공,계획,차량,거리,국제,학교,자녀,교육,환경,업체,가량,국제영어도시,통학,자녀,셔틀버스,운행,예정,씨사이드아덴,중문관광단지,이국,정취,자연환경,제주,대표적,관광지,신라,롯데,하얏트,호텔,내국인면세점,국제컨벤션센터,테디,뮤지엄,여미지식물원,쇼핑,문화시설,올레8코스,천제연,색달해변,씨사이드아덴,콘도부지,3개,중문관광단지,마지막,리조트,색달해변,바다,입주민,골프장,제주,아덴힐,시공,안성CC,가칭,골프장,부킹,혜택,이용,요금,할인,승마,요트,사격,할인,주변,씨사이드아덴,몸값,상승,제주,6대,핵심프로젝트,제주,공항,개발호재,분양,업체,관계자,제주,여유,생활,수요,주거,리조트,관심,국제학교,자녀,학부모들,문의,문의","제주,씨사이드아덴,골프장,중문관광단지,서해종합건설,국제학교,관광단지,관계자,색달해변,중문,색달동,서귀포시,아덴힐,안성,190실,일반형,식물원,여미,롯데,면세점,여미지식물원,신라,테라스형,국제컨벤션센터,하얏트,내국인,관광지,문화시설,뮤지엄,국제컨,국제영어,올레","제주에 가족이 집처럼 살 수 있는 고급스런 주거형 리조트가 들어선다.

호영개발은 제주도 서귀포시 색달동 중문관광단지 안에 씨사이드아덴(조감도)을 분양하고 있다. 한 층에 한 실씩 들어서는 6~8층 규모로 공급면적은 135~230㎡에 190실이다. 평면은 일반형 테라스형 복층형으로 다양해 취향에 따라 선택할 수 있다. 서해종합건설이 시공을 한다.

씨사..",https://www.joongang.co.kr/article/20320055,
01500601.20160717183704001,20160717,매일신문,,[기고] 위기는 준비되어 있을 때 기회다,정치>국회_정당, 정치>선거, 정치>청와대,,,,안용모,"김해공항,동남권,부산,신공항,관문,대구경북,대전,영남권,계산,청산,대구공항,인천,광주","경일대,국회,정부,부산,대구경북","위기,준비,기회다,석좌교수,안용모,경일대,석좌,교수,사람들,대구경북,위기,총선,정당,칼부림,대구경북,공천,지역민들,한탄,지난달,정부,백지화,영남,백지,김해공항,확장,지역,정신,미사일,사드,THAAD,배치,지역민들,혼미,충격,위기,기회,대구경북,적용,생각,위기,위기,위기,신호탄,생각,위기,기회,준비,노력,구심점,위기,모면,정부,검증,요청,억지,주장,무리,요구,거리,부족,대구경북,경쟁,인천,대전,광주,부산,지역,일당,독점,지배,거수기,일꾼,청산,공천,심정,유권자들,심판,신공항,지역,민심,위정자들,지역,민심,정치집단,이해관계,선거,계산,정파,속내,신공항,부산,동남,준비,중앙정부,요청,최선,차선책,논리적,억지,주장,선거,표심,정부,국회,중앙,지역,민심,논리,전달,지역,종이비행기,유치,목청,중앙,정부,국회,소리,논리,전달,부족,정치,논리,현안,전문가,집단,합리적,전개,지역민,중앙,전달,변화,기틀,마련,신공항,공항,전문가,철도,철도,전문가,군사,전문가,합리적,준비,당위성,논리적,무장,요청,정치적,논리,목청,비전문가,공항,철도,군사,상식선,대변,중앙,시대,정치꾼,비전문가,상식선,논리,지역민들,혼란,위기,기회,작금,사안,교훈,대통령,K2,대구공항,통합,실현,가능,로드맵,청사진,지역민,중앙정부,한마음,K2,대구공항,통합,예산,민원,정치적,상황,변경,지역민들,이용,편리,대구경북,관문,공항,준비,정치적,구호,공약,실현,가능,전문가,집단,지혜,공항,규모,시설,접근성,환경성,경제성,준비,위기,기회,명심,대통령,지시,K2,대구공항,통합,시도민,대구경북,역량,표심","대구경북,신공항,지역민,전문가,지역민들,부산,상식선,비전문가,대구공항,경일대,안용모,김해공항,k2,백지화,한마음,중앙정부,사드,환경성,접근성,거수기,경제성,사람들,유권자들,인천,유권자,석좌교수,영남,차선책,광주,로드맵,위정자들"," 지금 많은 사람들이 대구경북은 위기에 빠졌다고 한다. 4`13 총선을 앞두고 한 정당의 대구경북 공천 칼부림을 보고 지역민들은 한탄하였고, 지난달에는 정부의 영남권 신공항 백지화와 김해공항 확장 발표로 우리 지역은 넋이 나갔다. 정신을 가다듬기도 전에 미사일처럼 터져 나온 사드(THAAD) 배치가 지역민들을 더 혼미한 충격에 빠지게 하고 있다.
누군가..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=34502&yy=2016,
01500601.20160715200831001,20160715,매일신문,장우석 독립영화감독,[광장] 개와 돼지의 시간,사회>교육_시험, 정치>행정_자치, 정치>청와대,사고>산업사고>원자력사고,,,이명박,"김해공항,울산,김해,밀양,부산,청도,한반도,경북,가덕도,성주,영남권,임계,대한민국,경남","청와대,후안무치,교육부,대한항공,후쿠시마,명문대,체르노빌","돼지,교육부,정책,기획관,2급,고위,공무원,지방교육청,부교육감,직급,명문대,졸업,초반,행정고시,합격,엘리트,이명박,정권,시절,교육부,장관,비서관,청와대,행정관,승진,교과서,국정,누리과정,개혁,대학,구조,교육부,정책,기획,부처,정책,조율,보직,발언,7일,교육부,대변인,대외,협력실,과장,교육부,출입,동승,저녁,식사,자리,99%,민중,돼지,우리나라,신분제,발언,개인적,기획관,자녀,비정규직,99%,구의역,사고,청년,가슴,질문,위선적,발언,발언,기사화,사석,개인,발언,감안,교육정책,총괄,고위,간부,인식,발언,철회,해명,대화,공개,발언,공개,국민들,공분,결국,교육부,9일,대기,발령,조치,결정,파면,최고,수위,중징계,교육부,공무원,개인,발언,중징계,전례,돼지,일원,두려움,생각,1%,안심,발언,혼자,생각,국민들,분노,설명,2년,공분,대한항공,부사장,분노,말들,사이,상황,얘기,국민,1%,대한민국,분야,핵심,99%,돼지,생각,유사,생각,그간,일련,사건들,이해,2008년,2012년,공약,차례,대통령,국책사업,밀양,가덕도,영남,김해공항,확장,대안,신공항,사실,김해,공약,궤변,신고리,원전,6호,신규,건설,허가,경남,부산,울산,지역,세계,최대,단지,체르노빌,후쿠시마,사고,위험,밀양,청도,주민,10년,송전탑,송전탑,69기,반대,주민,사망,400명,형사처벌,경북,성주,사드,배치,BackYard,님비,NIMBY,한반도,최적지,사드,배치,늑대,하루,직전,지기,직전,어둠,교차,사물,언덕,너머,실루엣,늑대,분간,순간,임계점,99%,돼지들,단결,unite,후안무치,1%,99%,돼지들,분노,돼지","교육부,신공항,송전탑,사드,밀양,김해,기획관,공무원,중징계,김해공항,이명박,청도,비서관,대한항공,부사장,시간date,국민들,님비,기사화,행정관"," 교육부 정책기획관이라고 했다. 무려 2급에 해당하는 고위 공무원으로 지방교육청에서는 부교육감에 준하는 직급이라고 했다. 명문대를 졸업하고 20대 초반에 행정고시에 합격한 엘리트로 이명박 정권 시절 교육부 장관 비서관과 청와대 행정관을 거쳐 지난해 3월 승진한 거라고 했다. 교과서 국정화, 누리과정, 대학 구조 개혁 같은 교육부의 정책을 기획하고 타 부..",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=34331&yy=2016,
